id,code_prefix_start,code_prefix_end,name
100,100000,100999,100 KASA
101,101000,101999,101 ALINAN ÇEKLER
102,102000,102999,102 Bankalar
103,103000,103999,103 VERİLEN ÇEKLER VE ÖDEME EMİRLERİ (-)
108,108000,108999,108 DİĞER HAZIR DEĞERLER
110,110000,110999,110 HİSSE SENETLERİ
111,111000,111999,"111 ÖZEL KESİM TAHVİL, SENET VE BONOLARI"
112,112000,112999,"112 KAMU KESİMİ TAHVİL, SENET VE BONOLARI  113"
118,118000,118999,118 DİĞER MENKUL KIYMETLER
119,119000,119999,119 MENKUL KIYMETLER DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)
120,120000,120999,120 ALICILAR
121,121000,121999,121 ALACAK SENETLERİ
122,122000,122999,122 ALACAK SENETLERİ REESKONTU (-)
126,126000,126999,126 VERİLEN DEPOZİTO VE TEMİNATLAR
128,128000,128999,128 ŞÜPHELİ TİCARİ ALACAKLAR
129,129000,129999,129 ŞÜPHELİ TİCARİ ALACAKLAR KARŞILIĞI (-)
131,131000,131999,131 ORTAKLARDAN ALACAKLAR
132,132000,132999,132 İŞTİRAKLERDEN ALACAKLAR
133,133000,133999,133 BAĞLI ORTAKLIKLARDAN ALACAKLAR
135,135000,135999,135 PERSONELDEN ALACAKLAR
136,136000,136999,136 DİĞER ÇEŞİTLİ ALACAKLAR
137,137000,137999,137 DİĞER ALACAK SENETLERİ REESKONTU (-)
138,138000,138999,138 ŞÜPHELİ DİĞER ALACAKLAR
139,139000,139999,139 ŞÜPHELİ DİĞER ALACAKLAR KARŞILIĞI (-)
150,150000,150999,150 İLK MADDE MAL.
151,151000,151999,151 YARI MAMULLER
152,152000,152999,152 MAMULLER
153,153000,153999,153 TİC. MALLAR
157,157000,157999,157 DİĞER STOKLAR
158,158000,158999,158 STOK DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)
159,159000,159999,159 VERİLEN SİPARİŞ AVANSLARI
180,180000,180999,180 GELECEK AYLARA AİT GİDERLER
181,181000,181999,181 GELİR TAHAKKUKLARI
191,191000,191999,191 İNDİRİLECEK KDV
192,192000,192999,192 DİĞER KATMA DEĞER VERGİSİ
193,193000,193999,193 PEŞİN ÖDENEN VERGİLER VE FONLAR
196,196000,196999,196 PERSONEL AVANSLARI
197,197000,197999,197 SAYIM VE TESELLÜM NOKSANLARI
198,198000,198999,198 DİĞER ÇEŞİTLİ DÖNEN VARLIKLAR
199,199000,199999,199 DİĞER DÖNEN VARLIKLAR KARŞILIĞI (-)
220,220000,220999,220 ALICILAR
221,221000,221999,221 ALACAK SENETLERİ
222,222000,222999,222 ALACAK SENETLERİ REESKONTU (-)
226,226000,226999,226 VERİLEN DEPOZİTO VE TEMİNATLAR
229,229000,229999,229 ŞÜPHELİ ALACAKLAR KARŞILIĞI (-)
230,230000,230999,230 ORTAKLARDAN ALACAKLAR
231,231000,231999,231 İŞTİRAKLERDEN ALACAKLAR
232,232000,232999,232 BAĞLI ORTAKLIKLARDAN ALACAKLAR
235,235000,235999,235 PERSONELDEN ALACAKLAR
236,236000,236999,236 DİĞER ÇEŞİTLİ ALACAKLAR
237,237000,237999,237 DİĞER ALACAK SENETLERİ REESKONTU (-)
239,239000,239999,239 ŞÜPHELİ DİĞER ALACAKLAR KARŞILIĞI (-)
240,240000,240999,240 BAĞLI MENKUL KIYMETLER
241,241000,241999,241 BAĞLI MENKUL KIYMETLER DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)
242,242000,242999,242 İŞTİRAKLER
243,243000,243999,243 İŞTİRAKLERE SERMAYE TAAHHÜTLERİ (-)
244,244000,244999,244 İŞTİRAKLER SERMAYE PAYLARI DEĞER DÜŞÜKLÜĞÜ KARŞILIĞI (-)
245,245000,245999,245 BAĞLI ORTAKLIKLAR
246,246000,246999,246 BAĞLI ORTAKLIKLARA SERMAYE TAAHHÜTLERİ (-)
247,247000,247999,247 BAĞLI ORTAKLIKLAR SERMAYE PAYLARI DEĞER DÜŞÜKLÜGÜ KARŞILIĞI (-)
248,248000,248999,248 DİĞER MALİ DURAN VARLIKLAR
249,249000,249999,249 DİĞER MALİ DURAN VARLIKLAR KARŞILIĞI (-)
250,250000,250999,250 ARAZİ VE ARSALAR
251,251000,251999,251 YER ALTI VE YER ÜSTÜ DÜZENLERİ
252,252000,252999,252 BİNALAR
253,253000,253999,"253 TESİS, MAKİNE VE CİHAZLAR"
254,254000,254999,254 TAŞITLAR
255,255000,255999,255 DEMİRBAŞLAR
256,256000,256999,256 DİĞER MADDİ DURAN VARLIKLAR
257,257000,257999,257 BİRİKMİŞ AMORTİSMANLAR (-)
258,258000,258999,258 YAPILMAKTA OLAN YATIRIMLAR
259,259000,259999,259 VERİLEN AVANSLAR
260,260000,260999,260 HAKLAR
261,261000,261999,261 ŞEREFİYE
262,262000,262999,262 KURULUŞ VE ÖRGÜTLENME GİDERLERİ
263,263000,263999,263 ARAŞTIRMA VE GELİŞTİRME GİDERLERİ
264,264000,264000,264 ÖZEL MALİYETLER
267,267000,267999,267 DİĞER MADDİ OLMAYAN DURAN VARLIKLAR
268,268000,268999,268 BİRİKMİŞ AMORTİSMANLAR (-)
269,269000,269999,269 VERİLEN AVANSLAR
271,271000,271999,271 ARAMA GİDERLERİ
272,272000,272999,272 HAZIRLIK VE GELİŞTİRME GİDERLERİ
277,277000,277999,277 DİĞER ÖZEL TÜKENMEYE TABİ VARLIKLAR
278,278000,278999,278 BİRİKMİŞ TÜKENME PAYLARI (-)
279,279000,279999,279 VERİLEN AVANSLAR
280,280000,280999,280 GELECEK YILLARA AİT GİDERLER
281,281000,281999,281 GELİR TAHAKKUKLARI
